USITEID,DISTRICT,COMMUNITY,Year,REGION,LAT_N_,LONG_W_,ENDEM_DIST,Endemism__04_07_,Total_MU_Present__VNTR_,USWBTYPE,WBFLOW,HUMAN,elevation,Dist_To_Ocean_km_,Aspect,Dir,Dir_Class,Wet_0_1km_AVG,Wet_0_1km_STD,Wet_0_5km_AVG,Wet_0_5km_STD,Wet_1km_AVG,Wet_1km_STD,Wet_5km_AVG,Wet_5km_STD,Water_100m,Water_500m,Water_1km,Water_5km,Water_10km,Wetlands_100m,Wetlands_500m,Wetlands_1km,Wetlands_5km,Wetlands_10km,Forest_100m,Forest_500m,Forest_1km,Forest_5km,Forest_10km,Cropland_100m,Cropland_500m,Cropland_1km,Cropland_5km,Cropland_10km,Shrubland_100m,Shrubland_500m,Shrubland_1km,Shrubland_5km,Shrubland_10km,Urban_100m,Urban_500m,Urban_1km,Urban_5km,Urban_10km,calcium,calcium_hardness,carbon_trioxide,chlorine,chlorophyll,color,dis_ox,cond,temp,fturb,iron,magn,manganese,nitrate,nitdiox,nitphos,oxred,ph,phosphate,sulfate,sussol,totalk,totds,totnit
S.6.25,Akuapim South,Alafia,2006,Accra,5.86653,-0.30907,END,1,0,fetch,lentic,nature,53,37.5683457,174.1736603,S,5,7.734410524,1.835647956,5.001118737,1.723461604,5.155176096,2.157008787,4.555329368,1.97534453,0,0,0,0,0,0,0,0,0.019650226,0.016288119,0,0,0.103385888,0.503666319,0.660315162,39.47368421,44.04145078,35.43551305,17.50835135,17.42259912,0,1.761658031,2.455414836,2.375608898,3.293302481,0,0,0,0.025855561,0.194940342,28.89999999,72.1,151,15.89999997,9.0025,59.99999987,5.445,5.64866609,24.75375,17.09375,4.630000004,0.900000007,2.519999996,0.367000011,0.001,2.50340136,-32.14625,7.0755,0.146999999,2.31,27.00000011,124,151.0000005,0.368000015
S.6.26,Ga West,Sarpeiman,2006,Accra,5.72143,-0.31503,END,1,0,pond,lentic,nature,51,22.68969792,234.0394898,SW,6,5.324172735,1.433584533,4.96675889,0.987964317,5.359371854,1.583756372,5.4536778,1.763089957,0,0,0,0,0,0,0,0.362412633,0.027921695,0.049901748,0,0,0.258866166,0.05274098,0.592874134,22.5,40.53774561,30.49443438,30.94240892,26.9565105,47.5,32.98862461,35.87885063,29.61147478,23.27826042,0,0,0.854258348,0.657711042,0.634502017,8.800000042,22,56.1,148.9999994,7.98656716,29.99999995,21.8731343,4.92995391,27.0536484,12.7626866,1.169999994,1.900000009,0.552999988,0.430999995,0.01,5.31325301,84.1910448,6.78134328,0.082999998,8.53,15.99999996,46,77.60000022,0.441000002
S.6.27,Ga West,Akotoshie,2006,Accra,5.75034,-0.34194,END,1,1,wetland,lentic,nature,45,26.39725358,220.8150787,SW,6,4.439683278,0.657084199,5.777865336,2.264625606,5.708750809,2.071805938,5.307986932,1.892341925,0,0,0,0,0,0,0,0,0.129268444,0.049385781,0,0,0,0.431239529,0.599352038,21.95121951,24.56140351,30.37516171,30.51355767,27.65965699,4.878048781,11.97110423,16.2225097,18.86491965,16.55819895,0,0,0,0.180975822,0.422235495,15.99999993,40.1,97.6,11.89999998,6.4825,39.99999984,5.125,5.37683969,25.58125,5.6475,3.430000008,1.400000006,3.000000004,0.323999988,0.005,3.32323232,-36.4025,6.63675,0.099000003,0.401,46.99999992,80,104.0000001,0.329000009
S.6.28,Ga West,Trebakope,2006,Accra,5.73627,-0.33066,END,1,1,fetch,lentic,human,46,24.60529574,280.7131348,W,7,4.608123303,0.60896271,5.583483447,1.669764362,5.845789942,2.143720933,5.391122659,1.827347223,0,0,0,0,0,0,0,0,0.121006526,0.049382078,0,0,0,0.329923776,0.546305393,47.36842105,39.87603306,25.05170631,32.13912648,27.49883655,21.05263158,33.98760331,33.81592554,24.39884578,20.67893893,0,0,0,0.328889532,0.416257304,0,0,31.7,5.000000005,14.0558824,349.9999984,6.79705882,4.30644699,24.8439542,320.922059,1.640000006,0,0.112999996,2.819999986,0.024999999,5.02650177,39.7220588,6.28102941,0.566,17.5,103.0000002,26,43.30000022,2.845000007
S.6.29,Ga East,Oyarifa,2006,Accra,5.74378,-0.17533,END,0,1,pond,lentic,human,79,19.95938214,143.6156464,SE,4,6.235211134,0.947525541,5.487206925,1.590200614,5.356927961,1.652770489,5.18427313,1.879809436,0,0,0,0,0,0,0,0,0.10962871,0.087128959,0,0,0,0.223394353,0.866118728,25.64102564,27.45098039,22.06414899,23.75323198,19.877037,10.25641026,39.1124871,48.78427315,34.24656118,29.51034559,5.128205128,3.199174407,0.853595448,1.913331265,2.596546384,3.999999988,10,1.2,26.79999998,5.49642857,59.99999987,31.7589286,5.01999611,27.2047619,37.8303571,0.503999994,2.899999988,0.188999993,0.001,0.006,0.07368421,90.8232143,6.58357143,0.094999999,7.2,19.00000002,1,86.40000036,0.007
S.6.3,Jasikan,"Tampa, Bompaso",2006,Volta,7.47529,0.35664,NON,0,0,stream,lotic,nature,161,176.7814067,258.323761,W,7,5.967745781,3.160469958,5.64179622,2.159457319,5.132632202,1.91825603,4.155656191,2.022446322,0,0,0,0.036195539,7.118589727,0,0,0,0,0,52.5,52.11995864,46.14389234,23.20030611,19.9523221,0,0,0,0,0.010600835,0,0,0.439958592,6.73650682,5.23370962,0,0,0,0.130303939,0.154617051,8.000000024,20,53.7,6.900000004,9.54941176,89.99999997,15.7788235,4.70048037,24.9008497,38.3576471,4.23,1.400000006,0.172999997,0.996000021,0.015999999,15.3333333,37.02,6.71905882,0.066000002,20.3,18.00000004,44,63.79999998,1.011999999
S.6.30,Ga East,Adigon,2006,Accra,5.79435,-0.08992,END,0,0,pond,lentic,human,56,19.69266114,124.1144714,SE,4,6.279981232,2.047153653,6.049731102,1.979855369,5.46764352,1.748611671,5.560112602,1.72880614,0,0,0,0,0,12.19512195,1.136363636,0.284605433,0.221302999,0.505211121,4.878048781,0.20661157,0.051746442,0.011375388,0.116348518,0,2.479338843,6.959896507,12.78903826,14.36050976,41.46341463,80.06198347,79.17205692,69.55429162,49.9166169,0,0.413223141,0.103492885,0.065149948,0.285183146,4.800000014,12,1.2,0.999999999,4.5375,89.99999997,94.653125,4.20445938,31.9618056,49.034375,0.379000001,1.900000009,0.154600007,1.060000002,0.008,8.03007519,135.310938,7.45078125,0.132999993,0.48,34.99999995,1,37.19999995,1.067999999
S.6.31,Atwima Mponuah,Barniekrom,2006,Ashanti,6.54168,-2.17884,END,0,1,stream,lotic,nature,211,177.6823274,249.8636932,W,7,5.235757351,0.428004225,5.608486036,1.560937124,5.354303683,1.805809547,4.674231107,1.668790352,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8732457,28.30707257,0,0,0,0.001034222,0.033095289,0,0,0,0,0.188229454,0,0.930713547,0.594622544,0.117901356,0.299667496,3.20000002,8,26.8,2.999999996,2.98644068,34.99999995,72.7677966,4.00733319,24.0967985,10.9,1.229999999,4.399999981,0.007,0.89900004,0.02,8.43119266,102.625424,6.87762712,0.109,0.5,3.999999996,22,31.10000003,0.91899996
S.6.32,Atwima Mponuah,Aboabogya,2006,Ashanti,6.54619,-2.27267,END,1,0,stream,lotic,nature,183,176.134969,168.4653778,S,5,7.229232311,2.589929538,4.406330489,1.936530644,4.24629602,1.545150321,4.464501435,1.710562572,0,0,0,0,0.109628143,0,0,0,0,0,77.5,75.54179567,84.41222165,71.20903441,52.01674415,0,0.412796698,0.414293112,0.280256885,0.194693377,10,5.263157895,4.997410668,2.402349608,1.465759304,0,4.953560372,1.242879337,0.161328687,0.874956692,8.000000024,20,31.7,3.999999988,5.33980583,89.99999997,5.53980583,4.11611239,23.9647789,12.2048544,2.690000011,0.999999999,0.052999998,1.36,0.0005,9.13087248,-20.351456,6.31990291,0.148999996,0.5,6.000000005,26,33.20000014,1.360500001
S.6.33,Atwima Mponuah,Pamuruso,2006,Ashanti,6.52425,-2.24979,END,0,0,stream,lotic,nature,176,174.3968983,247.6198578,W,7,4.278229396,0.414078683,5.251191523,2.027228474,4.975134005,1.95117489,4.67373799,1.675248961,0,0,0,0,0.110404385,0,0,0,0,0,0,0,4.167745276,35.2083398,37.73011687,0,0,0.025886617,0.213045412,0.115058434,0,0,0.388299249,1.482010073,0.934171062,0,1.758014478,0.440072483,0.3019867,0.723187507,4.800000014,12,24.4,2.999999996,2.9617284,29.99999995,76.845679,3.78475064,23.4388203,14.5148148,0.776999991,2.899999988,0.0025,2.699999992,0.007,22.940678,103.640741,6.90765432,0.117999995,0.5,3.999999996,20,25.49999994,2.706999998
S.6.34,Atwima Mponuah,Jerusalem,2006,Ashanti,6.62637,-2.33293,END,1,1,stream,lotic,nature,181,183.2322869,161.5650482,S,5,4.905413151,0.668312921,5.004918119,1.617628864,4.82574448,1.818934982,4.409129924,1.707258584,0,0,0,0.002068509,0.006463673,0,0,0,0,0,100,89.04958678,88.98085877,87.19592917,84.85639012,0,0.516528926,0.129332644,0.547120635,0.637576692,0,7.024793388,7.139161925,6.138300513,4.88627814,0,0.103305785,0.336264873,0.338201225,0.46926265,19.19999991,48.1,29.3,7.900000029,7.6225,149.9999994,67.06,5.27811466,23.81875,81.33,3.630000006,6.799999971,0.035000001,1.299999994,0.0005,4.39358108,83.8475,7.5445,0.296000007,14.5,12,24,105,1.300500005
S.6.35,Atwima Mponuah,Bofaso,2006,Ashanti,6.59772,-2.19869,END,0,1,stream,lotic,nature,263,183.3758939,196.2887726,S,5,4.20463711,1.474113742,4.886652511,2.430504547,4.185858412,2.162181906,4.113374254,1.876168436,0,0,0,0,0,0,0,0,0,0,0,3.619441572,11.56832298,43.1372549,50.1828007,0,0,0,0,0.035939601,0,0,0,0,0.242010549,0,0,0,0.014478365,0.267349261,3.20000002,8,29.3,2.999999996,1.30645161,29.99999995,76.1741935,3.95681132,23.471147,9.82258065,0.736999998,3.900000024,0.0025,1.439999995,0.009,12.075,58.6774194,6.67096774,0.120000004,0.5,6.000000005,24,30.29999992,1.448999995
S.6.36,Atwima Mponuah,Akentensu,2006,Ashanti,6.66873,-2.09273,END,1,1,stream,lotic,nature,209,188.9769599,191.3099365,S,5,6.585410655,3.128784228,5.05673434,2.147441427,4.55844826,1.790682796,4.469143913,1.81863968,0,0,0,0,0,0,0,0,0,0,0,0,6.253229974,35.48634027,44.79790903,0,0,0,0.001034436,0.018355455,0,0,0,0,0.030247721,0,2.913631634,0.723514212,0.058962874,0.296014023,3.20000002,8,22,0.999999999,1.40980392,19.99999993,74.5078431,3.66356165,24.0685185,10.4313725,0.607000004,3.900000024,0.0025,0.846000016,0.004,7.94392523,57.7254902,6.75333333,0.107000005,0.5,3.999999996,18,21.99999993,0.850000025
S.6.37,Amansie West,Mpatuom,2006,Ashanti,6.5444,-1.9355,END,1,1,wetland,lentic,human,218,171.4091596,183.6012726,S,5,6.296080232,1.312395333,5.447510794,2.809435835,5.10206084,2.320906743,3.926066638,1.897592972,0,0,0,0.304061391,0.084283243,0,0,0,0,0,0,2.279792746,0.930232558,12.81608423,15.47941912,0,0.414507772,1.550387597,0.977340187,0.390908785,0,0,0,0,0,5.263157895,17.72020725,13.82428941,3.61977847,1.613015815,8.800000042,22,78.1,5.000000005,2.42272727,29.99999995,13.2424242,5.09440067,25.6854377,4.99545455,0.820999994,7.799999987,0.035000001,0.302999992,0.0005,3.29891304,44.9848485,6.86712121,0.092,0.5,3.000000004,64,89.70000008,0.30349999
S.6.38,Atwima Mponuah,Kobeng,2006,Ashanti,6.59742,-1.86081,END,1,1,stream,lotic,nature,282,175.6545769,16.92751312,N,1,4.283343673,0.708429573,4.312954458,1.371968028,4.515635382,1.664904858,4.414655489,1.8301994,0,0,0,0,0.001551185,0,0,0,0,0,0,0,0,5.84834633,5.652001934,0,0.829015544,0.413436693,0.141684076,0.374094173,0,0,0,0,0.009048581,86.84210526,13.57512953,7.105943153,0.707386187,1.246894398,22.39999994,56.1,151,38.70000009,125.713333,149.9999994,24.4483333,6.54575667,23.3966667,18.3016667,3.210000012,13.10000004,0.099000003,1.36,0.036000001,11.3495935,-188.05,6.89733333,0.123000003,0.5,19.99999993,124,187.9999995,1.395999994
S.6.39,Amansie East,Senfi,2006,Ashanti,6.50686,-1.63127,END,0,1,riverine wetland,lentic,nature,217,157.0302536,56.48199081,NE,2,5.93027854,1.39256089,4.191679028,1.258780951,4.2207611,1.370122222,4.617174854,1.743354861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009308194,0.438487631,8.108108108,5.675954592,4.627714581,4.153523152,2.881453214,0,0,0,0,0,0,6.295149639,2.326783868,2.424267497,2.998572847,1.600000013,4,26.8,21.80000009,5.14827586,14.99999998,8.88793103,4.9266288,23.7581418,75.937931,0.593999993,7.799999987,0.077999996,21.00000005,0.005,201.971154,150.965517,5.55603448,0.103999998,4.64,1.999999999,22,76.99999986,21.0049999
S.6.4,Jasikan,Worawora,2006,Volta,7.52131,0.37441,NON,0,0,fetch,lentic,human,202,180.3471037,96.81821442,E,3,4.04311496,1.077197541,4.256836442,1.643424411,4.007663328,1.451082033,4.054473426,2.203089931,0,0,0,0.228584431,3.103953754,0,0,0,0,0,0,0,4.907024793,27.97108045,25.46943229,0,0,0,0.040338429,0.104706086,0,0,0.309917355,4.969901326,6.747725551,2.702702703,1.664932362,0.826446281,0.046544341,0.053516444,0,0,14.6,3.999999988,1.85,19.99999993,40.0316667,3.88738872,25.6902778,4.05166667,0.958999993,0,0.055999999,13.59999996,0.009,136.09,237.681667,5.64083333,0.099999999,7.09,3.999999996,12,28.69999992,13.60900002
S.6.40,Amansie East,Ofoasi Kokobeng,2006,Ashanti,6.47629,-1.64132,END,1,1,riverine wetland,lentic,human,185,154.3535217,171.0273743,S,5,8.042136828,1.693907218,4.603278657,1.755250394,4.471745439,1.616268159,4.558048347,1.771680653,0,0,0,0,0,0,0,0,0,0,0,0.103305785,0.025839793,0.014480462,0.519928436,5.405405405,5.578512397,7.183462532,3.668728409,2.210536113,0,0,0,0,0,0,18.59504132,9.715762274,2.351006392,2.263278729,13.60000002,34.1,90.3,13.89999996,10.9545455,59.99999987,5.6038961,5.20407804,25.1810245,35.9987013,1.239999994,5.299999979,0.046999999,0.963999985,0.013,7.94308943,-55.441558,6.74181818,0.123000003,4.42,6.000000005,74,103.0000002,0.977000026
S.6.41,Adansi East,Asirifikrom,2006,Ashanti,6.16573,-1.40962,END,0,1,fetch,lentic,human,159,113.0793672,287.0490418,W,7,3.834568858,0.345667585,4.405269669,1.195365874,4.979570378,2.115273248,4.464602409,1.851779642,0,0,0,0,0,0,0,0,0,0,0,0.31152648,2.713178295,18.07312406,15.32117326,7.894736842,2.699896158,1.57622739,0.441640379,0.832503846,0,0,0,0,0,2.631578947,2.180685358,1.007751938,0.291668821,0.663934744,3.999999988,10,19.5,7.900000029,8.08305085,39.99999984,24.3491525,4.06161123,24.1167608,178.581356,0.838999997,1.900000009,0.015999999,2.009999996,0.011,18.2072072,162.40678,5.60440678,0.110999998,6.09,4.999999988,16,31.90000001,2.021000003
S.6.42,Bekwai,Nsuta,2006,Ashanti,6.1553,-1.2595,END,0,1,stream,lotic,nature,131,107.8400971,173.6598053,S,5,4.305599451,1.35564343,4.601348172,1.507955367,4.659609125,1.655652252,4.555830311,1.646470419,0,0,0,0,0,0,0,0,0,0,2.702702703,0.103626943,1.628327733,11.99540786,10.55766695,0,2.797927461,1.033858878,1.859608841,2.783939606,0,0,0,0,0,10.81081081,8.082901554,2.067717757,0.361992822,0.344114377,14.40000001,36.1,112,17.89999996,8.07288136,39.99999984,19.940678,5.42994016,24.480791,25.1338983,0.991000002,10.20000002,0.325999999,0.206999997,0.0005,1.53703704,-2.2033898,6.87847458,0.135,5.2,3.999999996,92,118.9999996,0.207500008
S.6.43,Amansie West,Groso,2006,Ashanti,6.12844,-2.01478,END,1,0,riverine wetland,lentic,nature,123,129.4839119,278.408905,W,7,4.279612899,0.74353167,4.789544961,1.831990743,4.755821085,1.869944586,4.496941954,1.73950969,0,0,0,0,0,0,0,0,0,0,5.263157895,1.035196687,0.568916473,11.17970673,19.36574834,0,0.207039338,0.103439359,0.020682096,0.017323629,0,0,0,0,0,0,1.6563147,0.413757435,0.57599636,0.445760236,6.399999998,16,17.1,8.900000028,6.43965517,100.0000004,11.0844828,4.47006119,24.4003831,37.1224138,3.409999995,3.900000024,0.048999999,1.170000001,0.006,4.68525896,157.448276,6.07896552,0.25100001,0.5,15.99999996,14,57.80000025,1.176000001
S.6.44,Amansie West,Manso Dominase,2006,Ashanti,6.46616,-1.90626,END,0,1,stream,lotic,nature,219,162.2838615,178.760025,S,5,7.043274403,3.805723428,4.715969898,2.088936845,4.013371192,1.868413836,3.904023574,1.870595078,0,0,0,0,0.076012989,0,0,0,0,0,0,0.103305785,0.025826446,14.23562993,4.992812377,0,0,0,0.022752187,0.406178253,0,0,0,0,0,0,2.376033058,0.69731405,0.301983577,1.659099841,10.40000005,26.1,100,5.000000005,1.65178571,14.99999998,79.3017857,4.87751198,25.1838294,7.05535714,1.089999998,7.799999987,0.062999997,1.690000002,0.009,14.9035088,42.4464286,7.09696429,0.114000003,4.87,1.999999999,82,76.99999986,1.698999995
S.6.45,Amansie Central,Kobro,2006,Ashanti,6.28616,-1.88503,END,0,1,stream,lotic,nature,154,142.3202993,259.8753357,W,7,7.745146036,1.654549596,4.794759422,1.952909874,4.472777435,1.803248634,4.607224,1.792358497,0,0,0,0,0,0,0,0,0,0,0,0,0.387897595,14.93815414,15.75593045,0,0,0,0.00620527,0.012410316,0,0,0,0,0,0,4.020618557,1.111973106,0.145823853,0.358089328,12.00000003,30.1,43.9,5.000000005,0.26734694,149.9999994,0.25306122,5.2869262,23.6289116,353.72449,7.379999992,1.400000006,0.059000002,0.729000034,0.0005,3.42488263,30.9795918,6.62387755,0.213000003,0.5,18.00000004,36,49.00000009,0.729500008
S.6.46,Amansie Central,Abuakwaa,2006,Ashanti,6.29638,-1.85421,END,1,1,stream,lotic,nature,175,142.7575281,293.1985779,NW,8,9.173763116,3.55105487,4.904314576,2.372397197,5.195782789,2.896072099,4.462342579,1.759984945,0,0,0,0,0,0,0,0,0,0,0,0.310237849,3.002070393,24.67604993,10.88162746,0,0,0,0,0.015771974,0,0,0,0,0,0,0,0,0.291632626,0.396626349,13.60000002,34.1,65.9,10.9,9.14722222,69.99999986,39.4513889,4.95131769,24.1695988,89.0041667,2.469999986,2.899999988,0.035000001,0.0005,0.0005,0.00813008,15,6.65958333,0.123000003,4.09,6.000000005,54,79.20000009,0.001
S.6.47,Amansie West,Manso Abodom,2006,Ashanti,6.41322,-1.81314,END,1,1,stream,lotic,nature,163,154.6895874,114.3045502,SE,4,7.897542477,3.738731242,5.186753701,1.970497982,4.710662434,1.643147435,4.504490878,1.661156373,0,0,0,0,0,0,0,0,0,0,0,0,0.103332472,0.259587143,3.436516739,0,0.414937759,0.309997417,0.227526579,0.174773196,0,0,0,0,0,0,0.10373444,0.749160424,0.859429943,0.650745759,12.00000003,30.1,80.5,19.90000002,9.19444444,119.9999997,79.2851852,5.28179269,24.716358,61.2759259,3.920000011,7.799999987,0.073000003,0.921000039,0.002,2.50135501,79.3518519,7.36666667,0.369000013,0.5,14.00000001,66,105.9999996,0.923000041
S.6.48,Upper Denkyira,Subin,2006,Ashanti,6.20108,-2.04328,END,1,1,pond,lentic,nature,138,138.1090619,132.9174347,SE,4,4.865129769,1.69558387,5.056458502,2.400200713,5.074600123,2.250759533,4.643164198,1.800176373,0,0,0,0,0,0,0,0,0,0,0,0,0.15503876,0.823241046,11.08528675,2.631578947,0.932642487,0.310077519,0.016547559,0.015770383,0,0,0,0,0,26.31578947,7.772020725,3.410852713,0.363012069,0.345397246,16.80000005,42.1,80.5,7.900000029,34.8590909,59.99999987,2.79848485,5.03705098,26.0631313,34.4363636,3.539999992,4.399999981,0.282000002,0.270999989,0.005,2.19047619,93.3484848,6.78621212,0.125999996,4.64,3.000000004,66,90.8000004,0.276000004
S.6.49,Upper Denkyira,Subin,2006,Ashanti,6.20679,-2.04439,END,1,1,stream,lotic,nature,131,138.7442771,132.9174347,SE,4,4.523100615,0.365435885,5.654980016,2.594755411,5.089789118,2.220783812,4.631699964,1.798031757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800446761,10.59587582,0,0.931677019,0.310237849,0.014478365,0.014736603,0,0,0,0,0,10.52631579,11.80124224,4.679420889,0.362993299,0.309210118,10.40000005,26.1,39,6.000000007,11.4113924,119.9999997,0.7835443,4.61286205,24.1831224,23.9936709,4.890000006,3.399999996,0.051999998,0.110999998,0.0005,0.35396825,-9.5696203,6.43898734,0.315000013,0.5,7.000000007,32,50.40000025,0.111499999
S.6.5,Kadjebi,Titiaka,2006,Volta,7.68075,0.5278,NON,0,0,stream,lotic,nature,166,189.3990148,250.2531586,W,7,6.165833831,1.912198485,4.735441651,1.509023206,4.603713428,1.413586351,4.396116374,1.640885581,0,0,0,0,0.000517109,0,0,0,0,0,66.66666667,97.31958763,91.49211275,89.56730372,77.85094864,0,0,0,0.002068338,0.000517109,0,0,0,0.64532142,1.811431201,0,0,0,0.067220981,0.033353501,14.40000001,36.1,97.6,8.900000028,9.10789474,45.00000001,20.0263158,5.21250145,24.5109649,34.4934211,3.969999982,3.900000024,0.408000002,1.220000002,0.013,2.53703704,88.8289474,7.215,0.485999978,13.2,36.9999999,80,108.0000003,1.232999995
S.6.50,Kwabre,Achiasi,2006,Ashanti,6.73669,-1.53734,END,1,1,fetch,lentic,human,284,177.5672882,171.8699036,S,5,4.24804908,0.604590733,5.233620682,1.85352591,4.633483026,1.316520548,4.742133883,1.62109294,0,0,0,0.002068317,0.027665736,0,0,0,0,0,17.5,13.75387797,28.00207039,23.46505062,27.33245424,0,0,0,0,0,0,11.16856257,12.47412008,10.89485713,9.813838039,0,0.206825233,0.077639752,0.916264207,0.812648671,3.20000002,8,19.5,6.900000004,14.1258065,9.99999997,34.8225806,4.19030621,23.3433094,92.8010753,0.205000003,2.899999988,0.0025,10.69999998,0.009,110.402062,167.634409,5.49655914,0.097,5.2,1.999999999,16,37.10000001,10.70900001
S.6.51,Ga West,Amasaman,2006,Accra,5.70842,-0.29866,END,1,1,wetland,lentic,human,53,20.99819033,155.7722473,SE,4,6.88535738,1.788616418,4.958633594,1.294576001,5.144426042,1.583814217,5.134540864,1.732860339,0,0,0,0,0,0,0,0,0.021716874,0.05197102,0,0,0,0.041365474,0.630633426,27.5,15.11387164,21.58385093,31.31159578,26.28570099,35,40.0621118,50,33.76146599,25.68325085,2.5,15.01035197,4.632505176,0.7238958,1.547236745,70.10000023,175,449,128.9999999,27.0936782,500.0000008,0.19770115,6.8868662,24.7256705,331.541379,7.249999981,24.19999989,2.519999996,0.356000017,0.0005,0.3529703,-184.51149,7.03948276,1.009999999,0.5,NA,368,564.9999994,0.356500014
S.6.6,Kadjebi,Asato,2006,Volta,7.53529,0.43798,NON,0,0,stream,lotic,nature,216,178.5445227,116.2742157,SE,4,6.641252995,2.684735501,5.158017781,1.722372078,5.002876977,1.924440825,4.22293204,1.913088681,0,0,0,0,0.000775649,0,0,0,0,0,41.02564103,28.40909091,25.02585315,33.20957266,48.75805705,0,0,0,0.003102635,0.010859083,0,0,1.163391934,6.519670707,4.902100198,0,2.582644628,0.749741469,0.170644934,0.067222893,4.800000014,12,39,2.000000004,4.00983607,38.00000001,79.3180328,4.36944785,24.7500911,48.8819672,3.510000002,3.399999996,0.083999998,0.441000002,0.007,2.35789474,24.1901639,7.10262295,0.190000001,37.5,23.99999999,32,45.50000018,0.448000021
S.6.7,Hohoe,Lolobi Hiyasem,2006,Volta,7.20189,0.54758,NON,0,0,pond,lentic,human,240,140.1240082,271.6846924,W,7,4.150309503,0.830875406,4.796110014,1.929445653,4.595210087,1.566215696,4.344303189,1.701920727,0,0,0,0,0,0,0,0,0,0,15.38461539,9.081527348,6.20475698,8.495630139,11.10160201,0,0,0,0,0.02120156,0,0,0,0.04550861,1.432915163,0,0,0,0.085845788,0.140654249,23.19999992,58.1,112,13.89999996,43.08,55.00000026,4.71857143,5.64514397,25.1014286,39.5185714,2.949999987,4.299999997,0.297999998,0.441000002,0.009,2.36842105,-31.275714,6.82742857,0.190000001,37.5,34.99999995,92,166.0000003,0.449999998
S.6.8,Hohoe,Likpe Agbozume,2006,Volta,7.19891,0.56009,NON,0,0,stream,lotic,nature,233,139.1881248,277.9269409,W,7,3.053681294,0.169795582,4.415534243,1.375352818,4.504051673,1.592871193,4.472717911,1.696319351,0,0,0,0,0.001292711,0,0,0,0,0,56.75675676,16.61474559,10.90157582,7.502870205,10.45829197,0,0,0,0,0.0416253,0,0,0,0.045509552,1.243071068,0,0.41536864,0.154998708,0.074470176,0.106519401,23.19999992,58.1,142,31.80000015,4.44545455,19.99999993,29.9363636,5.884183,24.240303,10.1127273,1.999999993,10.20000002,0.398999985,2.46,0.015999999,14.9156627,58.4290909,7.07690909,0.165999998,12.1,7.000000007,116,210.9999993,2.475999988
S.6.9,Kpandu,Anfoega Woademaxe,2006,Volta,6.89704,0.29705,NON,0,0,wetland,lentic,nature,128,122.9586846,102.6001587,E,3,4.487681945,1.034059928,5.449563213,2.284514402,5.22249235,1.885737109,4.890191391,1.873783385,0,0,0,0.362985791,7.264011418,0,0,0,0,0,7.5,13.34022751,12.9524302,9.931953091,8.82701238,0,0,0,0.012409771,0.019650632,15,26.88728025,26.55118925,14.06233841,11.30919753,0,0,0.155118925,0.08893669,0.072138506,18.40000008,46.1,107,55.60000027,17.6075758,69.99999986,4.95454545,5.98003585,25.3739057,69.380303,4.670000006,7.799999987,0.214999989,0.441000002,0.015999999,7.37096774,-150.26667,6.41151515,0.062,24.4,39.99999984,88,220.9999997,0.456999995
S.7.1,Ga East,Otinibi,2007,Accra,5.78889,-0.14359,NON,0,0,wetland,lentic,human,79,22.59484394,158.8387451,S,5,6.224695563,2.721599484,5.295874896,3.005296127,5.063017807,2.152250937,4.972096612,1.920597991,0,0,0,0,0,2.702702703,0.3125,0.155078832,0.019655511,0.110909171,2.702702703,0.416666667,0.206771776,0.10448456,1.02481108,0,4.479166667,9.976738175,17.2151244,15.74729255,70.27027027,70.10416667,57.66347894,36.66477008,36.59356313,0,0,0,0.102415559,0.693376215,12.79999997,32.1,83,21.80000009,36.3374074,4.999999988,27.9196296,5.30672636,26.5381481,13.482963,0.102000001,2.399999994,0.004,1.090000004,0.046999999,2.55505618,71.5466667,6.79622222,0.444999999,12.3,36.00000006,68,108.0000003,1.136999995
S.7.10,North Tongu,Tadeafenui,2007,Volta,6.13521,0.47895,NON,0,0,lake/reservoir,lentic,human,19,39.57182291,281.9761353,W,7,4.276137769,0.764574426,5.730769533,2.581960379,6.303012725,3.268114903,5.622966121,1.846552262,0,0,0,0.006205014,0.004136922,0,15.77319588,13.61636034,2.034210309,3.034173559,0,0.412371134,0.310639399,0.055845123,0.174009272,17.94871795,12.78350516,10.38053326,9.486431704,9.459847296,56.41025641,53.91752577,46.8806627,62.4369157,66.31692441,0,0,0,0.667038968,0.789117827,10.40000005,26.1,61,7.900000029,10.6140351,4.999999988,79.2688596,4.78331637,26.4164035,41.6714912,2.569999987,1.900000009,0.021000001,0.824999994,0.02,1.52252252,167.667544,7.34100877,0.554999981,16.8,32.99999995,50,66.60000016,0.844999959
